"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"93";"garwar";"-2998609072";"-999460211";"-999602523";"508601";"25983378";"-999637374";"1000373014";"-0.99926466";"0.15400057";"10015";"13818";"0.72477925";"-6924.294";"80828";"73128";"-2998970338";"138778";"49366.215";"21160.756";"285578.0";"21056";"47476"
"94";"KCFATMAN08";"145959";"28854";"88596";"39761";"5564135";"79284";"68023";"1.1655469";"0.2512725";"824";"4912";"0.16775244";"1.5739266";"79526";"4460";"58667";"1971";"12390.801";"5216.418";"3277.314";"872";"463"
"95";"IRV009";"452689";"165869";"164991";"140714";"6920049";"156119";"88210";"1.769856";"0.18606979";"2993";"4347";"0.68852085";"3.9250214";"79049";"45546";"262139";"55052";"14969.153";"3612.8762";"76257.46";"6904";"3999"
"96";"TEXAS_1";"498194";"209851";"166492";"148641";"6607025";"159580";"106115";"1.5038402";"0.24305406";"2944";"3884";"0.7579815";"4.5242205";"78851";"26076";"380023";"8957";"18162.451";"1461.3502";"46883.156";"2456";"1831"
"97";"lou_sobaken";"705953";"263094";"260717";"224301";"9913050";"244627";"129323";"1.891597";"0.23616952";"4343";"5328";"0.8151276";"4.2728705";"78427";"26484";"578829";"15693";"27583.404";"3681.7932";"57639.93";"4423";"2097"
"98";"STUNTMANT1654";"-499564021";"-499861902";"-499884436";"197696";"6808963";"109822";"71572";"1.5344269";"0.24966171";"3699";"4157";"0.8898244";"-4402.115";"76533";"12458";"-499678466";"20245";"17300.13";"1984.7063";"45355.82";"3444";"1765"
"99";"hoss4563";"347222";"129186";"80656";"153336";"11287632";"71351";"106095";"0.6725199";"0.12951225";"2733";"7658";"0.35688168";"1.8456768";"75796";"10683";"240201";"18973";"9004.83";"6910.335";"286571.72";"863";"706"
"100";"ShadyShot";"86339";"4709";"55844";"28073";"1670631";"54056";"34659";"1.5596526";"0.32149947";"1044";"1734";"0.6020761";"3.1008284";"74755";"3617";"5992";"852";"5935.1313";"275.67545";"1134.933";"580";"543"
"101";"hlghjumper";"508498";"155384";"186364";"209258";"12887418";"177254";"143484";"1.2353573";"0.1640497";"4167";"9175";"0.45416895";"2.3674161";"74556";"48559";"372345";"6939";"25550.28";"1752.1445";"235909.28";"4096";"2003"
"102";"Memo808";"95140";"10709";"54589";"33984";"2193373";"52509";"43588";"1.2046664";"0.27456668";"596";"2120";"0.28113207";"2.602567";"72919";"338";"20802";"389";"6913.1465";"955.9644";"1464.4391";"312";"380"
"103";"vertical2";"150456";"37196";"80643";"45092";"4308711";"74746";"95239";"0.78482556";"0.17399701";"961";"2966";"0.3240054";"2.0951416";"72830";"6466";"70320";"549";"9187.903";"4612.4062";"11367.958";"144";"147"
"104";"dercooletyp95";"589183";"232189";"129203";"249492";"8228216";"123225";"62357";"1.9761213";"0.20893066";"4160";"6510";"0.6390169";"4.2963114";"72744";"16878";"388536";"72103";"10516.511";"3257.6272";"96694.83";"1315";"37607"
"105";"ritsch35";"2579258";"876386";"615671";"1171940";"35849870";"544708";"236564";"2.302582";"0.21290497";"16798";"14995";"1.1202401";"4.3167653";"72216";"58041";"2030821";"340054";"50366.312";"28162.236";"626586.94";"7026";"71100"
"106";"supa_flyy";"340102";"97026";"138074";"118995";"4533762";"133697";"67327";"1.9857858";"0.26742953";"2407";"3756";"0.6408413";"4.500924";"71819";"23976";"235289";"2905";"12452.613";"1204.8595";"23606.346";"3863";"2250"
