"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"134";"asd123asd123";"375879";"141981";"95944";"146052";"5885748";"84132";"65842";"1.2777863";"0.1408113";"3517";"2832";"1.2418785";"3.8317544";"152";"2032";"116602";"256473";"9898.729";"9253.328";"72745.04";"613";"7"
"135";"ElectricOrange";"909931";"500171";"115642";"323645";"12943616";"102264";"128671";"0.79477113";"0.17083931";"8556";"5642";"1.5164835";"4.2179756";"5939";"95622";"524410";"256255";"17005.045";"9510.932";"183184.67";"6438";"21267"
"136";"well_hungdude";"310201";"106517";"64554";"141844";"4418967";"58045";"28173";"2.060306";"0.18284462";"2796";"3693";"0.75710803";"4.2118573";"146";"12022";"34815";"254553";"4128.4263";"1852.1173";"120320.87";"2335";"6330"
"137";"kebap96";"814016";"238695";"239563";"368921";"12192123";"221026";"109513";"2.0182626";"0.19686298";"6555";"9519";"0.6886228";"4.005944";"47661";"63008";"399685";"251878";"18431.242";"3425.979";"140475.08";"23241";"28543"
"138";"Jermaine81";"348389";"128220";"89579";"134386";"4385215";"82043";"38297";"2.1422827";"0.21506326";"2812";"2816";"0.99857956";"4.7667766";"4579";"33178";"57920";"250035";"6092.505";"2644.6562";"65290.69";"617";"2060"
"139";"ohono";"293474";"128207";"55294";"115487";"5060683";"50322";"52339";"0.9614628";"0.18081355";"3288";"3811";"0.86276567";"3.479459";"128";"10102";"28993";"249769";"8802.364";"3534.874";"76103.44";"2434";"2048"
"140";"TheRougeAssassin";"308151";"163710";"37977";"115777";"4039881";"35276";"52462";"0.6724105";"0.16785188";"2738";"4096";"0.66845703";"4.576635";"3023";"4163";"51834";"247051";"5605.1284";"3062.6394";"37534.492";"605";"1475"
"141";"ZeldaJvR";"741167";"352999";"34521";"357910";"10291863";"30360";"26085";"1.1638873";"0.28248194";"6714";"7964";"0.8430437";"4.3208914";"3466";"9929";"434669";"246557";"8829.247";"9910.598";"44882.03";"353";"46193"
"142";"Reeds_Wrath63";"781677";"235837";"44904";"516725";"18891715";"37824";"53399";"0.7083279";"0.14823204";"10552";"12773";"0.8261176";"2.4826024";"472";"14238";"459532";"246554";"10769.778";"10235.908";"50422.105";"1042";"59839"
"143";"teamramrod007";"421395";"182714";"64874";"181157";"4637312";"52741";"32065";"1.6448152";"0.19711679";"3498";"2256";"1.5505319";"5.452232";"112";"15455";"156699";"245100";"8483.157";"6714.362";"34365.113";"1564";"2465"
"144";"tanaka-yasuhiro";"518287";"151295";"68814";"310554";"8759290";"63195";"33252";"1.9004872";"0.18256104";"5536";"5876";"0.9421375";"3.5501986";"475";"8790";"244729";"243699";"6893.4106";"3327.9473";"160143.23";"273";"20321"
"145";"DrClaw77";"319010";"114680";"66166";"141638";"5060423";"60385";"37592";"1.6063259";"0.18406036";"2976";"3053";"0.9747789";"3.782411";"638";"4459";"66614";"243384";"9725.847";"4146.7676";"99720.36";"454";"3461"
"146";"T_HARDIN";"292071";"125264";"33721";"137950";"5201133";"30724";"40982";"0.749695";"0.22151864";"2720";"4779";"0.5691567";"3.369316";"10460";"5480";"31446";"241986";"6858.0513";"1681.2101";"68363.445";"407";"2292"
