"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"137";"azd567";"1000305840";"1000171425";"61656";"86195";"4487356";"76981";"66238";"1.1621878";"0.8027999";"2216";"4574";"0.4844775";"13374.992";"14139";"24426";"1000256735";"5682";"8968.903";"4032.8958";"34803.586";"1885";"2973"
"138";"kokimatsing";"1000261765";"1000099384";"92318";"83233";"6709745";"81728";"55984";"1.4598457";"0.17669882";"2290";"4617";"0.49599308";"8944.559";"698";"2494";"1000254905";"2968";"11623.505";"7434.2334";"83738.49";"207";"493"
"139";"lonewolf_735";"1000246552";"1000239717";"3134";"4069";"429281";"-99997313";"-99996783";"-9.9997312E7";"0.17104097";"127";"220";"0.5772727";"139803.05";"8";"6";"1000246378";"51";"691.79614";"382.1394";"365.96628";"109";"0"
"140";"xXSTARWOLF76Xx";"1000264688";"1000153657";"55779";"64413";"3498846";"50215";"46171";"1.0875875";"0.18401861";"1461";"2363";"0.61828184";"17153.05";"9072";"2410";"1000242477";"4563";"8488.533";"3352.1978";"26027.145";"4125";"2041"
"141";"iMakeTheLaws";"1000220526";"1000145397";"71141";"6837";"363472";"135647";"4567";"29.701555";"0.9855821";"477";"451";"1.0576496";"165111.02";"1291";"13";"1000219208";"14";"709.72754";"11.902725";"1534.7764";"0";"0"
"142";"wherdrego";"1000384744";"1000139013";"114227";"148751";"8003864";"105903";"69382";"1.5263758";"0.20085062";"3590";"5615";"0.6393589";"7499.2637";"6037";"22157";"1000207521";"137618";"10616.188";"3185.6697";"185979.72";"3790";"7621"
"143";"LIZARD83";"1000219773";"1000113729";"55457";"59193";"3334299";"50654";"40889";"1.2388173";"0.18637717";"1380";"2698";"0.51149";"17998.742";"4960";"2596";"1000199467";"7727";"5908.2227";"2840.8162";"39391.76";"1351";"3672"
"144";"edfish50";"1000175908";"1000097999";"37884";"59571";"5917347";"32534";"84787";"0.3837145";"0.08753696";"1816";"5012";"0.3623304";"10141.463";"1314";"512";"1000169844";"2023";"11181.268";"8496.362";"10106.965";"1028";"1187"
"145";"acope638";"1000252349";"1000126384";"15369";"116327";"4828508";"14458";"20603";"0.7017425";"0.2016135";"2833";"4035";"0.7021066";"12429.335";"1181";"17682";"1000162876";"68877";"3372.0532";"1273.8811";"18224.648";"489";"1244"
"146";"murdoc6000";"1000175378";"1000099902";"32226";"47534";"2417628";"28996";"35998";"0.8054892";"0.17023028";"1237";"1000";"1.237";"24822.066";"4248";"1264";"1000161951";"5848";"5796.257";"2833.94";"12729.017";"458";"1609"
"147";"pilotrmj";"1000152365";"1000063454";"47840";"51957";"5418882";"38048";"55014";"0.69160575";"0.18754093";"1826";"3353";"0.54458696";"11074.081";"343";"2013";"1000146705";"2990";"13106.066";"3846.8457";"6895.399";"170";"144"
"148";"KillerKing0207";"1000132779";"1000076710";"30645";"30831";"1728436";"27780";"25151";"1.1045287";"0.14574867";"665";"1162";"0.57228917";"34718.074";"3690";"1890";"1000121886";"358";"4226.155";"444.20096";"13240.861";"4124";"831"
"149";"mwaMarco";"1000215926";"1000079097";"66836";"75195";"4631696";"56800";"40159";"1.4143778";"0.16954435";"1924";"2146";"0.8965517";"12957.016";"520";"25510";"1000118488";"52433";"7673.1343";"4864.341";"40921.637";"7129";"11846"
"150";"AfroSamarri";"1000138261";"1000063938";"28532";"52520";"3580877";"24190";"37574";"0.64379627";"0.1861284";"1519";"2506";"0.60614526";"16757.988";"3372";"3224";"1000116822";"13076";"7516.4907";"2815.9058";"18443.86";"953";"814"
"151";"Skautas-LT";"1000107927";"1000041664";"31884";"38980";"1981026";"29265";"27935";"1.0476105";"0.18593757";"804";"1113";"0.722372";"30290.604";"3227";"1169";"1000096721";"3554";"4066.8967";"1593.0474";"24000.947";"1076";"2180"
"152";"Amazenblazen";"1000083639";"1000051715";"13484";"23893";"2110910";"11318";"26014";"0.43507344";"0.22158544";"708";"1825";"0.3879452";"28426.139";"1220";"1900";"1000075840";"3182";"3191.2317";"3206.5613";"11882.495";"411";"1086"
"153";"RUSKING1997";"1000076111";"1000057766";"5923";"13459";"496800";"5433";"3926";"1.3838513";"0.2194908";"370";"389";"0.9511568";"120782.14";"346";"470";"1000072042";"2820";"736.2433";"291.34412";"4029.3772";"81";"352"
"154";"HawkEye3737";"1000071282";"1000063962";"3738";"5141";"376009";"3462";"4864";"0.71175987";"0.17571121";"311";"588";"0.5289116";"159582.02";"615";"5942";"1000064416";"226";"711.9188";"164.63696";"2232.6643";"37";"46"
"155";"KrAzYkAiTliN187";"5000078895";"3000027062";"2000029703";"24553";"1578240";"2000026874";"19176";"104298.44";"0.15084524";"526";"963";"0.54620975";"190088.16";"7073";"4000000873";"1000063787";"2184";"3527.0063";"539.7684";"21149.059";"1873";"3105"
"156";"RealVidaDash";"1000068599";"1000019991";"28763";"23021";"3151107";"26062";"18756";"1.3895286";"0.16125469";"1060";"3261";"0.32505366";"19042.234";"2519";"335";"1000063738";"189";"5324.3604";"491.27216";"39166.84";"1295";"523"
"157";"miu63";"1000064911";"1000029390";"16796";"21852";"1381170";"15072";"14231";"1.0590963";"0.21904105";"638";"1105";"0.5773756";"43444.25";"2319";"2892";"1000053755";"3190";"2826.8718";"909.68805";"10100.087";"743";"2012"
"158";"B1ueBerry_K1ng";"1000056466";"1000014762";"20858";"22660";"924027";"18793";"9898";"1.8986664";"0.1809133";"370";"442";"0.8371041";"64936.832";"634";"753";"1000053400";"779";"1881.5697";"567.277";"14266.362";"622";"278"
"159";"m_griff07";"1000027174";"1000012544";"8696";"7960";"651422";"7675";"10037";"0.7646707";"0.21303128";"175";"439";"0.39863327";"92108.695";"338";"0";"1000026476";"101";"1422.0414";"798.73193";"2545.999";"177";"82"
"160";"snutewafty2";"1000023058";"1000015730";"4242";"6326";"655864";"3916";"7766";"0.5042493";"0.14169802";"270";"705";"0.38297874";"91484.49";"728";"193";"1000019992";"1626";"1065.2549";"697.1715";"4878.1484";"11";"508"
"161";"LoneDeity";"1000018890";"1000015774";"822";"2328";"55715";"796";"292";"2.7260275";"0.22029181";"75";"53";"1.4150944";"1076929.6";"22";"152";"1000018438";"251";"124.18154";"14.25138";"792.1843";"0";"27"
"162";"sur33elnumero1";"1000022727";"1000011878";"5029";"9186";"733353";"4187";"9985";"0.419329";"0.13125685";"268";"713";"0.37587658";"81817.85";"422";"1272";"1000017936";"2747";"1206.5251";"716.56464";"4363.0293";"108";"242"
"163";"DrinkGasAndDie";"1000019285";"1000008098";"5068";"7345";"729371";"4313";"8021";"0.5377135";"0.16425344";"217";"513";"0.42300195";"82264.24";"836";"1021";"1000016001";"1020";"1329.5989";"896.01697";"4006.5315";"98";"309"
"164";"Edulus69";"1000015736";"1000011765";"995";"3378";"507899";"878";"9316";"0.094246455";"0.077714995";"146";"484";"0.30165288";"118135.586";"0";"0";"1000015717";"10";"989.8722";"1069.5438";"2681.3716";"0";"9"
