"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"26";"mikel69x";"1782481";"970713";"269111";"577706";"22500918";"250053";"157150";"1.591174";"0.17914224";"12336";"15463";"0.7977753";"4.7530885";"19857";"286287";"744933";"654118";"16645.816";"8885.527";"240939.38";"19366";"57920"
"27";"GUIZBO";"1466687";"515013";"296062";"718705";"22485527";"280299";"122710";"2.2842393";"0.20905803";"11951";"11322";"1.0555556";"3.9136825";"10784";"33470";"1312159";"85598";"Infinity";"3694.3745";"196589.84";"6841";"17835"
"28";"SHETTMAN";"966751";"304543";"87482";"584132";"24240226";"76433";"36920";"2.0702329";"0.25009078";"11443";"14147";"0.80886406";"2.3929257";"12021";"176708";"434926";"279975";"8192.799";"9967.366";"76167.22";"528";"62593"
"29";"REDMIRAGE";"1290092";"547215";"279914";"507091";"18109661";"259135";"222308";"1.1656575";"0.18243098";"11388";"10236";"1.112544";"4.274267";"33669";"43916";"807096";"362835";"33712.496";"12994.27";"252079.34";"23984";"18592"
"30";"ROB_72-";"1593224";"745712";"376414";"526812";"18745005";"340517";"242311";"1.405289";"0.22796263";"11358";"15260";"0.7442988";"5.0996757";"14202";"12958";"1543644";"6002";"53720.332";"15785.801";"15647.978";"8889";"7529"
"31";"LOBO1969";"1729576";"840634";"332189";"628863";"29066324";"296975";"329623";"0.90095353";"0.18439226";"11090";"12459";"0.8901196";"3.570268";"15118";"17936";"1617599";"45725";"53862.773";"22505.275";"299138.56";"17438";"15760"
"32";"tryfyn";"919690";"172457";"196599";"558425";"17607579";"142905";"20697";"6.904624";"0.34729278";"10887";"10377";"1.0491471";"3.1339571";"8539";"107546";"456428";"182485";"3890.211";"1142.4155";"87641.2";"128400";"36292"
"33";"freakyevil";"1294318";"484532";"220832";"617917";"20426719";"208348";"127656";"1.632105";"0.18384";"10662";"12410";"0.8591459";"3.801838";"11407";"36655";"791853";"414031";"20216.826";"14896.408";"549925.2";"7387";"32985"
"34";"ALWA7SH_KSA";"1417297";"602892";"290119";"597817";"20451082";"275575";"146334";"1.8831918";"0.1574547";"10651";"8661";"1.2297657";"4.1581087";"13762";"25819";"1291901";"69351";"23511.678";"13952.706";"300509.62";"9748";"6716"
"35";"Reeds_Wrath63";"781677";"235837";"44904";"516725";"18891715";"37824";"53399";"0.7083279";"0.14823204";"10552";"12773";"0.8261176";"2.4826024";"472";"14238";"459532";"246554";"10769.778";"10235.908";"50422.105";"1042";"59839"
"36";"nitto420s";"804057";"148528";"125107";"551771";"47198969";"102038";"97684";"1.0445724";"0.20246997";"10538";"21688";"0.4858908";"1.0221287";"16703";"30487";"719128";"2670";"22002.19";"16078.323";"170553.42";"35017";"52"
"37";"opel_7-";"826906";"214707";"92675";"529785";"14120816";"84122";"39111";"2.1508527";"0.1800319";"10460";"9386";"1.1144258";"3.5135617";"3265";"15943";"245977";"534833";"8454.432";"1479.1904";"157200.67";"6100";"20788"
"38";"kenneth1j";"1003062535";"1001565420";"928367";"604242";"23985659";"892854";"210849";"4.2345657";"0.21952285";"10395";"10462";"0.9935959";"2509.1555";"118926";"34424";"1002713534";"40316";"45121.86";"16650.502";"125596.98";"116895";"38440"
"39";"Ingenera";"781467";"154486";"79007";"561559";"16503673";"73137";"31235";"2.341508";"0.1593759";"10380";"12523";"0.8288749";"2.8410656";"3344";"11112";"261589";"490705";"8952.871";"3090.0615";"215595.27";"5363";"9354"
"40";"bigredreleif";"1333128";"516918";"320840";"524181";"18827917";"283577";"196622";"1.4422445";"0.12956613";"10335";"9405";"1.0988836";"4.2483554";"558";"8666";"461476";"853129";"31629.613";"20051.705";"281691.3";"1341";"7958"
"41";"viperhawk86";"-8543301";"-9526133";"477994";"550891";"28874472";"-9597491";"10234845";"-0.93772703";"0.23974395";"10140";"12470";"0.81315154";"-17.75264";"22759";"13996";"-8609621";"14622";"80877.31";"18166.03";"163684.83";"10352";"4591"
"42";"sissydog";"1206374";"539706";"254396";"447923";"24652251";"221923";"246388";"0.9007054";"0.20738594";"10134";"14771";"0.6860741";"2.936139";"11271";"52437";"1043578";"78929";"38730.203";"33915.43";"215729.52";"8535";"11624"
"43";"Neon_Watchman";"916113";"293017";"111153";"536173";"14894049";"99944";"65287";"1.5308408";"0.17141002";"10023";"11083";"0.904358";"3.6905196";"5456";"12107";"291814";"573400";"12658.43";"5300.0425";"190879.4";"7838";"25498"
"44";"garwar";"-2998609072";"-999460211";"-999602523";"508601";"25983378";"-999637374";"1000373014";"-0.99926466";"0.15400057";"10015";"13818";"0.72477925";"-6924.294";"80828";"73128";"-2998970338";"138778";"49366.215";"21160.756";"285578.0";"21056";"47476"
"45";"gundog3gsp";"880875";"320543";"194893";"382326";"13551822";"174837";"100565";"1.7385472";"0.13434525";"9871";"12303";"0.80232465";"3.900029";"383";"9647";"40312";"819631";"18808.354";"21046.428";"120978.25";"322";"10580"
"46";"Jephaze";"1284544";"408642";"361568";"552138";"23103337";"324204";"210379";"1.5410473";"0.19392261";"9699";"13677";"0.70914674";"3.3359962";"26377";"64129";"972047";"191918";"42685.11";"17678.219";"307402.44";"13365";"16708"
"47";"love-nectar";"1046352";"427886";"169061";"475148";"16172056";"159398";"104443";"1.5261722";"0.1912238";"9610";"12138";"0.79172844";"3.8820739";"17763";"16962";"759295";"220915";"16577.86";"6981.512";"144708.12";"5851";"25566"
