"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"140";"warhawk1492";"415510";"161942";"117030";"148640";"5450401";"110014";"43444";"2.5323174";"0.2373839";"3236";"3571";"0.9061887";"4.5740857";"3081";"14630";"267318";"86809";"8231.115";"1082.6681";"120914.91";"10652";"33020"
"141";"benten20cm";"65574";"3188";"27174";"35673";"1273606";"22659";"2822";"8.029411";"0.27580142";"437";"580";"0.75344825";"3.0892127";"0";"4147";"22392";"5069";"494.87";"718.32684";"44552.8";"965";"33001"
"142";"freakyevil";"1294318";"484532";"220832";"617917";"20426719";"208348";"127656";"1.632105";"0.18384";"10662";"12410";"0.8591459";"3.801838";"11407";"36655";"791853";"414031";"20216.826";"14896.408";"549925.2";"7387";"32985"
"143";"MrPips";"716968";"313727";"244066";"201759";"20275388";"216428";"182144";"1.1882247";"0.1818917";"6372";"7303";"0.8725181";"2.1216896";"87200";"38851";"410548";"88462";"Infinity";"14621.604";"102060.5";"58932";"32975"
"144";"stingo101";"470322";"126953";"139168";"228460";"8749755";"130927";"72573";"1.8040731";"0.17226575";"3817";"4638";"0.82298404";"3.2251554";"6865";"86967";"249584";"89388";"12495.098";"1725.8231";"200661.89";"4556";"32962"
"145";"wahleyed";"481865";"200091";"105380";"196471";"9370663";"91131";"111020";"0.8208521";"0.20418458";"3613";"6404";"0.56417865";"3.0853634";"17192";"18865";"374050";"29647";"19022.6";"7399.9854";"56358.008";"9172";"32939"
"146";"ZZ85ZZ";"128420";"61923";"30225";"40128";"2699236";"24361";"29990";"0.8123041";"0.15777381";"1133";"1597";"0.70945525";"2.8545856";"75";"15101";"62715";"13305";"3987.9407";"3822.977";"27953.22";"4313";"32911"
"147";"Mirage05";"182399";"83651";"52651";"50211";"3399943";"43191";"43777";"0.986614";"0.22235543";"1407";"2147";"0.65533304";"3.21886";"1341";"11480";"107658";"25483";"4732.4453";"4727.5474";"22314.645";"3602";"32835"
"148";"Crevette4";"114632";"38334";"34344";"44380";"1875682";"28185";"18036";"1.5627079";"0.21534227";"976";"1189";"0.8208579";"3.6668901";"4611";"10010";"30928";"32682";"2272.72";"1239.1927";"42855.67";"3928";"32473"
"149";"preciousroy1";"102587";"40924";"28259";"36923";"1970318";"22857";"23822";"0.95949125";"0.25182664";"854";"1301";"0.65641814";"3.123973";"2925";"8054";"43413";"12110";"4998.395";"2406.69";"11902.676";"3624";"32461"
