"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"26";"RIDIK_94";"345115";"137206";"89917";"134056";"6125723";"83535";"56842";"1.4696";"0.18750906";"3180";"3496";"0.909611";"3.3803194";"8866";"17070";"276548";"28255";"Infinity";"2482.472";"91072.664";"2887";"11489"
"27";"GoldRush-";"340503";"123731";"99176";"133251";"7671040";"90435";"70091";"1.2902513";"0.2293945";"3030";"6064";"0.49967018";"2.663287";"5664";"5478";"317438";"8852";"Infinity";"2913.4854";"59505.496";"2062";"1009"
"28";"x2005";"330269";"133182";"86052";"134430";"7388855";"75395";"77349";"0.9747379";"0.15634842";"2584";"3599";"0.7179772";"2.681896";"4852";"9482";"296550";"13108";"Infinity";"7928.7505";"132403.52";"5401";"876"
"29";"X_ViiSoNs_X";"327957";"239928";"33854";"59629";"2368617";"28733";"18240";"1.5752741";"0.32059523";"1542";"2121";"0.72701555";"8.307557";"1882";"9362";"274737";"21007";"Infinity";"1074.8226";"19359.285";"18401";"2568"
"30";"WHOCARES24";"322717";"113097";"96937";"127878";"6646246";"86975";"65345";"1.3310124";"0.20661536";"2447";"4178";"0.5856869";"2.913377";"9576";"4767";"286175";"15733";"Infinity";"2615.7185";"63827.78";"1220";"5246"
"31";"STARZ_HAWK";"322413";"107669";"47787";"167692";"3655042";"47330";"288";"164.34027";"0.51088697";"5644";"247";"22.850203";"5.292629";"0";"31806";"259901";"28296";"Infinity";"137.7616";"3173.7654";"2410";"0"
"32";"THE-GODS-BEAST";"317273";"305352";"8922";"3114";"81872";"8886";"472";"18.826271";"0.28437644";"264";"58";"4.551724";"232.51393";"322";"748";"315794";"397";"Infinity";"13.861242";"316.72717";"0";"12"
"33";"SUPERMAN_____IoI";"312339";"130017";"86043";"113982";"6587029";"80910";"83413";"0.9699927";"0.2200628";"2380";"5144";"0.46267498";"2.8450367";"17015";"8964";"281782";"1401";"Infinity";"2069.9438";"65019.81";"2478";"699"
"34";"THEBLACKMAMBA74";"305979";"117082";"52276";"143940";"4482400";"47596";"22607";"2.1053655";"0.20074068";"2637";"1648";"1.6001214";"4.095739";"304";"59482";"205083";"39722";"Infinity";"3500.915";"115900.02";"742";"646"
"35";"Ol2iGiN";"302303";"182049";"62466";"59836";"1722167";"58767";"3875";"15.165677";"0.16737";"1196";"669";"1.7877429";"10.532185";"4673";"283";"250173";"38667";"Infinity";"102.86891";"11011.734";"8249";"258"
"36";"NIGHMARE-06";"301753";"105735";"68497";"151866";"6299573";"66275";"62921";"1.0533049";"0.108645804";"3036";"4241";"0.7158689";"2.874033";"5836";"8357";"277060";"6271";"Infinity";"1936.0426";"126725.25";"1827";"2402"
"37";"come_bac_kid";"299015";"136328";"56700";"122524";"4744962";"51230";"61018";"0.83958834";"0.1848804";"2245";"2555";"0.87866926";"3.7810416";"5465";"11306";"276383";"4655";"Infinity";"4735.621";"73874.87";"463";"743"
"38";"Solxix";"295169";"252906";"11572";"32027";"1042593";"11351";"5589";"2.0309536";"0.38681555";"1130";"984";"1.148374";"16.986628";"7520";"749";"270915";"15392";"Infinity";"164.08704";"8932.936";"11";"582"
