"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"26";"c_U_ashoL";"66815";"24784";"2654";"43032";"13070456";"2180";"196760";"0.011079487";"0.021759182";"1379";"17258";"0.07990497";"0.30671462";"24";"1161";"41250";"20796";"Infinity";"403.11578";"6934.234";"3550";"34"
"27";"BECKHAM-ALi_No0B";"34315";"4161";"1022";"31242";"10624476";"844";"145568";"0.0057979776";"0.016987102";"2073";"16945";"0.122336976";"0.1937884";"43";"923";"21525";"10045";"96.79422";"41.950584";"2665.8647";"1779";"0"
"28";"C_U_AzO";"55240";"4879";"732";"51930";"10770235";"628";"150226";"0.004180368";"0.017104179";"2627";"16317";"0.16099773";"0.30773702";"62";"230";"40633";"11033";"Infinity";"47.99457";"2976.755";"2974";"308"
"29";"o_chogan_o";"430349";"408";"239";"429821";"21743033";"223";"1309";"0.17035905";"0.11015255";"8990";"15912";"0.5649824";"1.1875501";"0";"3907";"214012";"158971";"26.632975";"6.9295855";"1052.7864";"950";"52509"
"30";"jangofat";"-1999252054";"-999693031";"-999794772";"263410";"25717106";"-999842027";"1000135333";"-0.99970675";"0.17239621";"6538";"15854";"0.41238803";"-4664.41";"5946";"-1999983783";"671396";"24158";"48305.203";"22128.902";"67915.69";"5554";"24675"
"31";"rb6327";"-399225036";"-99515670";"-99777482";"-99875070";"14868965";"-99854617";"100183040";"-0.99672174";"0.15761252";"4117";"15724";"0.26182905";"-1610.973";"3787";"-399676324";"442863";"949";"31473.234";"7528.179";"17649.764";"2629";"1060"
"32";"mikel69x";"1782481";"970713";"269111";"577706";"22500918";"250053";"157150";"1.591174";"0.17914224";"12336";"15463";"0.7977753";"4.7530885";"19857";"286287";"744933";"654118";"16645.816";"8885.527";"240939.38";"19366";"57920"
"33";"ROB_72-";"1593224";"745712";"376414";"526812";"18745005";"340517";"242311";"1.405289";"0.22796263";"11358";"15260";"0.7442988";"5.0996757";"14202";"12958";"1543644";"6002";"53720.332";"15785.801";"15647.978";"8889";"7529"
"34";"Jane-GI";"904371";"366168";"223202";"328689";"23635642";"186123";"126330";"1.473308";"0.20613097";"6880";"15105";"0.4554783";"2.2957811";"11007";"17798";"724046";"110375";"43453.09";"19800.803";"157620.42";"1489";"39656"
"35";"jorgeyisa777";"541828";"137302";"86124";"342520";"23563115";"79836";"77099";"1.0354998";"0.22698814";"7788";"14998";"0.5192692";"1.3796852";"3981";"33373";"486341";"16513";"15224.748";"1748.9417";"37393.76";"699";"921"
"36";"ritsch35";"2579258";"876386";"615671";"1171940";"35849870";"544708";"236564";"2.302582";"0.21290497";"16798";"14995";"1.1202401";"4.3167653";"72216";"58041";"2030821";"340054";"50366.312";"28162.236";"626586.94";"7026";"71100"
"37";"sissydog";"1206374";"539706";"254396";"447923";"24652251";"221923";"246388";"0.9007054";"0.20738594";"10134";"14771";"0.6860741";"2.936139";"11271";"52437";"1043578";"78929";"38730.203";"33915.43";"215729.52";"8535";"11624"
"38";"lex1959";"-78994";"42697";"28068";"28119";"8460862";"22637";"83224";"0.27200088";"0.08463725";"1650";"14411";"0.11449587";"-0.56018406";"628";"-719";"-85921";"7134";"9013.244";"8376.303";"6555.429";"-5";"-111"
"39";"Ezra1977";"707483";"246995";"216051";"258783";"25738617";"183743";"178422";"1.0298226";"0.12813744";"6104";"14381";"0.42444894";"1.6492332";"85";"1372";"540462";"164689";"44161.67";"35718.387";"338661.62";"67";"808"
"40";"SHETTMAN";"966751";"304543";"87482";"584132";"24240226";"76433";"36920";"2.0702329";"0.25009078";"11443";"14147";"0.80886406";"2.3929257";"12021";"176708";"434926";"279975";"8192.799";"9967.366";"76167.22";"528";"62593"
"41";"Xskull_3";"30692";"3337";"216";"28645";"9673832";"176";"186837";"9.4199757E-4";"0.012659688";"918";"14051";"0.065333426";"0.19036096";"12";"558";"21950";"6623";"13.4733515";"0.039164618";"2466.4282";"1499";"50"
"42";"Greystar99";"905983";"402914";"174695";"377849";"20490402";"157342";"202755";"0.77602035";"0.18919499";"8650";"14027";"0.61666787";"2.6528997";"34377";"15452";"711557";"111073";"34627.055";"17241.178";"131002.11";"11585";"21939"
"43";"WaterSlayer";"462844";"246948";"140298";"121484";"10907071";"132655";"129378";"1.0253289";"0.1558914";"3739";"13886";"0.269264";"2.5461135";"24030";"7549";"415712";"9365";"18031.508";"4176.5405";"130189.15";"3397";"2791"
"44";"garwar";"-2998609072";"-999460211";"-999602523";"508601";"25983378";"-999637374";"1000373014";"-0.99926466";"0.15400057";"10015";"13818";"0.72477925";"-6924.294";"80828";"73128";"-2998970338";"138778";"49366.215";"21160.756";"285578.0";"21056";"47476"
"45";"HERBATURE";"459970";"224523";"113727";"144399";"16885179";"91252";"150790";"0.6051595";"0.146327";"5817";"13708";"0.42435074";"1.634463";"2763";"12454";"419098";"17914";"32709.695";"15422.76";"108764.9";"2326";"5415"
"46";"Jephaze";"1284544";"408642";"361568";"552138";"23103337";"324204";"210379";"1.5410473";"0.19392261";"9699";"13677";"0.70914674";"3.3359962";"26377";"64129";"972047";"191918";"42685.11";"17678.219";"307402.44";"13365";"16708"
"47";"GEN_KSA_69";"898775";"293633";"273407";"396531";"19036389";"258914";"1000184929";"2.5886612E-4";"0.16288237";"7722";"13676";"0.5646388";"2.8328116";"36153";"2000027311";"-1999232776";"49201";"24994.734";"6139.691";"270300.75";"6203";"12683"
