"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"97";"Apache_GirI";"435987";"243461";"66830";"135880";"11978169";"57151";"92460";"0.61811596";"0.16592437";"3461";"5817";"0.59498024";"2.183908";"205";"1166";"425009";"8210";"18603.814";"19530.48";"52506.457";"786";"611"
"98";"Xtopher";"471903";"293963";"73274";"125189";"10945329";"64806";"154294";"0.42001632";"0.22211157";"3594";"7672";"0.46845672";"2.5868733";"1533";"3310";"462269";"2399";"16800.11";"19513.295";"15868.3";"1766";"626"
"99";"narutojn934";"1149866";"442696";"310914";"421272";"20585789";"274587";"235043";"1.1682415";"0.18102671";"6797";"7989";"0.85079485";"3.3514364";"6502";"10118";"899279";"230861";"35434.383";"19496.914";"311483.3";"663";"2443"
"100";"titix";"763202";"293020";"206212";"288118";"19642476";"186419";"194688";"0.9575269";"0.14370671";"5249";"7427";"0.7067457";"2.3312805";"1247";"73976";"639083";"28435";"21844.379";"19410.17";"450698.84";"1951";"18510"
"101";"DERIF";"897409";"326434";"291142";"312246";"15015367";"256420";"163989";"1.5636414";"0.19566423";"5886";"8532";"0.6898734";"3.5859623";"26947";"23936";"811302";"26676";"26628.31";"19393.031";"171570.88";"2525";"6023"
"102";"tcdclsp";"494544";"285046";"90362";"134810";"12638355";"76227";"114870";"0.66359365";"0.16455421";"4420";"10091";"0.43801406";"2.3478246";"501";"12366";"373106";"86986";"Infinity";"19254.217";"82111.984";"13187";"8398"
"103";"welding08";"404423";"178297";"110024";"127739";"10906296";"93423";"81547";"1.1456338";"0.18870232";"3880";"7848";"0.49439347";"2.2248967";"91";"4340";"367357";"27182";"13285.488";"19111.904";"121086.46";"2711";"2742"
"104";"Shadow2374";"559970";"284532";"131263";"180814";"11611123";"116005";"115048";"1.0083183";"0.1843162";"4386";"7280";"0.60247254";"2.893622";"4989";"14447";"500136";"30612";"16126.032";"19086.416";"81345.11";"3808";"5978"
"105";"MUJIN";"341446";"161569";"98703";"90527";"7513862";"80907";"60927";"1.3279334";"0.19899511";"2715";"2780";"0.9766187";"2.7265286";"324";"8770";"266834";"45005";"9749.977";"19085.328";"48242.22";"12841";"7672"
"106";"asscoffee20lbs";"308473";"104457";"99789";"110642";"5880662";"83016";"55066";"1.5075728";"0.19654894";"2017";"2499";"0.8071228";"3.1473293";"7955";"16014";"139928";"7220";"8546.363";"19054.865";"12267.889";"1120";"136236"
"107";"chittywoman";"530987";"223740";"121895";"211397";"11954487";"105258";"120161";"0.8759747";"0.216481";"3762";"5787";"0.65007776";"2.6650429";"31875";"30243";"432678";"13496";"15387.59";"18995.916";"152220.64";"10869";"11826"
"108";"PHEASANTSLAYER";"962659";"350706";"242816";"419634";"18588879";"214052";"159195";"1.34459";"0.19884263";"8142";"6412";"1.2698066";"3.1072094";"16296";"42389";"851731";"33492";"30885.236";"18891.506";"201426.89";"7769";"10982"
"109";"sunstring18";"-399541837";"-99755175";"-99898411";"-99869867";"9797454";"82976";"87361";"0.949806";"0.18417296";"2652";"4936";"0.53727716";"-2446.81";"2190";"2237";"-399553940";"3970";"14372.452";"18772.773";"91313.9";"1310";"2396"
"110";"zaxter5";"625905";"276640";"179677";"189523";"15433738";"153270";"198504";"0.7721255";"0.16084728";"3670";"6520";"0.56288344";"2.4332602";"820";"2074";"601211";"13291";"25268.113";"18725.027";"190030.9";"1341";"7168"
"111";"scottycliff";"299266";"153400";"86879";"86846";"9149629";"74109";"84545";"0.8765628";"0.1926632";"2539";"9017";"0.28157923";"1.9624796";"1553";"5321";"271595";"18049";"11742.884";"18704.465";"18612.082";"329";"2419"
"112";"vespezien";"734725";"241941";"280035";"228409";"23521762";"244189";"146938";"1.6618506";"0.18736327";"6536";"12703";"0.5145241";"1.874158";"1352";"71958";"652010";"7214";"26571.445";"18671.84";"283110.38";"1021";"1170"
"113";"njophotography";"387244";"191687";"68710";"141076";"9331556";"58495";"125373";"0.46656775";"0.14688203";"3314";"5062";"0.6546819";"2.4898999";"232";"298";"385522";"1127";"14022.836";"18535.691";"41008.695";"26";"39"
"114";"crooked90003";"998159";"470493";"202469";"341085";"14988489";"174529";"155309";"1.1237533";"0.15887651";"7407";"8877";"0.8344035";"3.9957023";"1837";"80456";"543091";"323385";"19078.467";"18435.05";"178088.19";"4754";"44636"
"115";"Borisenko655a";"510095";"179792";"127460";"219101";"12747410";"105190";"149060";"0.705689";"0.13768463";"4543";"7943";"0.57195014";"2.400935";"4623";"231";"501704";"1830";"20794.75";"18326.568";"115017.31";"208";"1499"
"116";"IBADD442";"227689";"79952";"74070";"76633";"6237646";"64338";"33031";"1.9478066";"0.17996755";"1319";"2018";"0.65361744";"2.1901436";"3";"11";"227209";"435";"6233.9775";"18297.713";"6317.3076";"23";"8"
"117";"robzillaa11";"548465";"184869";"192299";"223866";"17053880";"148743";"184665";"0.80547476";"0.15090181";"4905";"7874";"0.62293625";"1.9296429";"1248";"3036";"540772";"2101";"37748.273";"18245.219";"171923.5";"296";"1012"
"118";"yipcon";"1230701";"463681";"362134";"440366";"26817345";"335628";"251637";"1.3337784";"0.1420317";"7995";"9993";"0.80006003";"2.7535188";"140";"11981";"1175419";"36840";"33031.51";"18233.809";"493892.4";"687";"5634"
"119";"viperhawk86";"-8543301";"-9526133";"477994";"550891";"28874472";"-9597491";"10234845";"-0.93772703";"0.23974395";"10140";"12470";"0.81315154";"-17.75264";"22759";"13996";"-8609621";"14622";"80877.31";"18166.03";"163684.83";"10352";"4591"
"120";"lutherburbank";"540535";"243873";"147508";"166580";"14980368";"116960";"148129";"0.7895821";"0.17574427";"3621";"5156";"0.70228857";"2.1649735";"44";"749";"538011";"1604";"29007.477";"18109.504";"132901.22";"0";"127"
"121";"gabb-fr";"656427";"389814";"135857";"174119";"8918070";"110377";"122150";"0.9036185";"0.2349071";"4561";"6519";"0.6996472";"4.4163837";"40";"190";"651750";"4336";"14577.848";"18084.271";"55733.17";"-1";"112"
"122";"Armyvet59";"426998";"228545";"125997";"89731";"10771738";"99804";"154655";"0.6453332";"0.12895168";"2575";"5943";"0.43328285";"2.3784351";"714";"6905";"388835";"28130";"22938.031";"17943.424";"101868.73";"847";"1567"
"123";"GeraldTarrant";"265256";"99063";"88807";"82085";"6721767";"78666";"37692";"2.0870743";"0.21108545";"1653";"2101";"0.7867682";"2.3677344";"0";"4012";"250443";"10231";"11512.956";"17942.191";"19015.223";"246";"324"
"124";"GMANN54";"535014";"231569";"112813";"207482";"9969466";"97707";"96906";"1.0082657";"0.17083725";"5260";"6697";"0.7854263";"3.2199156";"584";"2776";"516563";"11811";"14494.588";"17767.84";"79967.33";"813";"2467"
"125";"Eitian";"940948";"439957";"216745";"319362";"13389791";"191417";"144107";"1.3282977";"0.24359995";"6496";"6645";"0.97757715";"4.216412";"26168";"18912";"820738";"35628";"25934.057";"17760.303";"87988.24";"12208";"27294"
"126";"Jephaze";"1284692";"408734";"361622";"552177";"23106494";"324251";"210409";"1.541051";"0.19390403";"9700";"13679";"0.70911616";"3.3359246";"26377";"64129";"972195";"191918";"42692.207";"17680.504";"307457.7";"13365";"16708"
"127";"silverstreak1";"646717";"249475";"199902";"247746";"19264963";"169139";"124139";"1.3624969";"0.14130029";"7303";"12759";"0.5723803";"2.0141757";"3346";"31569";"454359";"128934";"38271.65";"17573.564";"216145.8";"10890";"17619"
"128";"crystalvision";"259114";"125949";"101118";"48575";"9786091";"77048";"87910";"0.87644184";"0.15219057";"2919";"6565";"0.44463062";"1.588667";"338";"14217";"237513";"4232";"20408.922";"17486.49";"47005.21";"440";"2374"
"129";"kou0601";"620256";"278373";"166925";"212153";"8785272";"148942";"101867";"1.4621222";"0.24158375";"6797";"5855";"1.1608881";"4.236108";"1315";"17792";"487676";"98204";"18725.03";"17384.422";"12546.895";"10331";"4938"
"130";"NSR250Rtatsumi";"420939";"206865";"97073";"126456";"9522078";"85846";"112458";"0.76336056";"0.15751971";"2777";"2839";"0.97816133";"2.6523979";"13";"506";"417739";"2491";"16541.418";"17331.768";"64966.406";"136";"54"
"131";"Greystar99";"905983";"402914";"174695";"377849";"20490402";"157342";"202755";"0.77602035";"0.18919499";"8650";"14027";"0.61666787";"2.6528997";"34377";"15452";"711557";"111073";"34627.055";"17241.178";"131002.11";"11585";"21939"
"132";"Stem_Cell";"427120";"223084";"97847";"130188";"9265829";"79936";"119967";"0.66631657";"0.20158471";"2968";"5470";"0.542596";"2.7657752";"2990";"9855";"397894";"10669";"17864.375";"17235.678";"50912.21";"2448";"3264"
