"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"1151";"yoda0146";"-4";"1";"0";"0";"1477";"0";"8";"0.0";"0.67375886";"0";"1";"0.0";"-0.16249153";"0";"0";"-4";"0";"2.8803701";"5.935729";"2.748819";"0";"0"
"1152";"dishwasher0";"2";"2";"0";"0";"138";"0";"1";"0.0";"0.67346936";"0";"1";"0.0";"0.86956525";"0";"0";"0";"2";"0.63872117";"0.0";"0.0";"0";"0"
"1153";"unzapped";"210";"33";"66";"112";"5871";"66";"27";"2.4444444";"0.6734565";"2";"14";"0.14285715";"2.146142";"0";"192";"18";"0";"4.3920584";"2.3536606";"13.607567";"0";"0"
"1154";"B-GEEZY420247";"5";"4";"2";"0";"533";"1";"5";"0.2";"0.6730769";"0";"1";"0.0";"0.5628518";"0";"0";"5";"0";"1.2612716";"0.53139424";"0.0";"0";"0"
"1155";"your_mom45";"0";"0";"0";"0";"1257";"0";"6";"0.0";"0.6727273";"0";"5";"0.0";"0.0";"0";"0";"0";"0";"2.4744167";"0.9355973";"0.0";"0";"0"
"1156";"Serindigena";"1";"0";"2";"0";"269";"1";"3";"0.33333334";"0.67256635";"0";"0";"0.0";"0.22304834";"0";"0";"1";"0";"1.0034308";"0.14059693";"0.0";"0";"0"
"1157";"wWSHADOWOLFWw";"4";"2";"2";"0";"177";"1";"1";"1.0";"0.67241377";"1";"0";"1.0";"1.3559322";"0";"4";"0";"0";"0.42970446";"0.0";"0.0";"0";"0"
"1158";"WarHawK_HacK";"262";"243";"2";"18";"544";"2";"1";"2.0";"0.672";"1";"1";"1.0";"28.897058";"0";"0";"261";"1";"1.9295777";"0.0";"6.599758";"0";"0"
"1159";"DLCPunisher";"0";"0";"0";"0";"89";"0";"3";"0.0";"0.671875";"0";"1";"0.0";"0.0";"0";"0";"0";"0";"0.1765207";"0.0";"0.6755243";"0";"0"
"1160";"star_kissez18";"0";"0";"0";"0";"220";"0";"2";"0.0";"0.6712329";"0";"1";"0.0";"0.0";"0";"0";"0";"0";"0.06418366";"2.191682";"0.0";"0";"0"
"1161";"General-BOSS-Hah";"1418";"1053";"164";"203";"3895";"158";"2";"79.0";"0.6710259";"3";"1";"3.0";"21.84339";"198";"0";"1220";"0";"3.5633373";"0.0";"72.67305";"0";"0"
"1162";"felixcat27";"13";"5";"6";"5";"646";"6";"17";"0.3529412";"0.6700767";"0";"1";"0.0";"1.2074304";"0";"0";"13";"0";"1.2985681";"0.0";"0.0";"0";"0"
"1163";"TcatSupreme";"10406";"6841";"2065";"1520";"37059";"2015";"87";"23.16092";"0.6694729";"49";"15";"3.2666667";"16.847729";"1831";"626";"7735";"0";"21.885534";"1.0333241";"485.30347";"7";"207"
"1164";"fisher_15";"7";"0";"7";"0";"616";"7";"2";"3.5";"0.6691176";"0";"1";"0.0";"0.6818182";"0";"0";"7";"0";"0.23401633";"0.0";"21.803358";"0";"0"
"1165";"GRIM-REAPERx1984";"139404";"109113";"8408";"22062";"343805";"8082";"723";"11.178423";"0.66904277";"866";"84";"10.309524";"24.328442";"3684";"7722";"117881";"7287";"265.84625";"83.8248";"1308.6167";"2830";"0"
"1166";"BeaverCanuck";"668";"77";"247";"351";"4508";"237";"22";"10.772727";"0.66899145";"5";"8";"0.625";"8.890861";"0";"629";"39";"0";"2.0571675";"3.360825";"131.05441";"0";"0"
"1167";"Whetzel";"12";"4";"8";"0";"1848";"3";"6";"0.5";"0.66883117";"0";"3";"0.0";"0.3896104";"0";"0";"0";"0";"6.803795";"2.0358272";"0.9933282";"0";"12"
"1168";"mrkar74-001";"1";"0";"1";"0";"466";"1";"3";"0.33333334";"0.6687898";"0";"2";"0.0";"0.12875536";"1";"0";"0";"0";"0.0050878734";"0.0";"0.33627266";"0";"0"
"1169";"Soldat_652";"2";"0";"2";"0";"900";"2";"1";"2.0";"0.6672384";"0";"1";"0.0";"0.13333334";"2";"0";"0";"0";"0.0";"0.0";"2.0635395";"0";"0"
"1170";"GARICKDS9-1";"15";"12";"3";"0";"501";"2";"3";"0.6666667";"0.6666667";"1";"0";"1.0";"1.7964071";"0";"0";"15";"0";"1.4613101";"1.0312914";"0.0";"0";"0"
"1171";"oIIHIIo";"13";"2";"7";"4";"274";"7";"1";"7.0";"0.6666667";"1";"0";"1.0";"2.8467155";"0";"0";"13";"0";"0.36364195";"0.73531663";"1.1297152";"0";"0"
"1172";"Iangreenberg53";"13";"13";"0";"0";"510";"0";"6";"0.0";"0.6666667";"1";"1";"1.0";"1.5294118";"0";"0";"13";"0";"0.35246193";"2.7465534";"3.8417833";"0";"0"
"1173";"c00lguyw0w";"8";"4";"4";"0";"186";"4";"2";"2.0";"0.6666667";"0";"1";"0.0";"2.5806453";"0";"0";"8";"0";"0.11254817";"0.56119955";"0.0";"0";"0"
"1174";"MEeN-_-TOoR";"6";"3";"3";"0";"97";"2";"3";"0.6666667";"0.6666667";"0";"1";"0.0";"3.7113402";"0";"0";"6";"0";"0.12361355";"0.034997124";"0.3916392";"0";"0"
"1175";"MojoRush77";"6";"4";"2";"0";"199";"2";"1";"2.0";"0.6666667";"0";"1";"0.0";"1.8090453";"0";"0";"6";"0";"0.11863669";"0.67535776";"0.0";"0";"0"
"1176";"K-MaRT_SeCuRiTY";"5";"4";"1";"0";"103";"1";"1";"1.0";"0.6666667";"0";"1";"0.0";"2.9126213";"0";"0";"0";"5";"0.1464765";"0.058002733";"0.6578676";"0";"0"
"1177";"GMoneyg187";"4";"4";"0";"0";"201";"0";"1";"0.0";"0.6666667";"0";"1";"0.0";"1.1940299";"0";"0";"0";"0";"0.45945412";"0.0";"0.050601076";"0";"4"
"1178";"KingSwagKiller18";"4";"2";"2";"0";"299";"2";"1";"2.0";"0.6666667";"0";"1";"0.0";"0.8026756";"0";"0";"4";"0";"0.41649395";"0.5911652";"0.0";"0";"0"
"1179";"NASH420time";"4";"3";"0";"1";"416";"0";"3";"0.0";"0.6666667";"1";"1";"1.0";"0.5769231";"0";"0";"3";"1";"0.5476329";"0.89467347";"0.16255327";"0";"0"
"1180";"J420campbell";"3";"3";"0";"0";"235";"0";"8";"0.0";"0.6666667";"0";"2";"0.0";"0.7659574";"0";"0";"3";"0";"0.44877005";"0.2468057";"0.13489218";"0";"0"
"1181";"lbss09";"3";"2";"1";"0";"111";"1";"0";"1.0";"0.6666667";"0";"0";"0.0";"1.6216216";"0";"0";"3";"0";"0.030605461";"0.92868954";"0.0";"0";"0"
"1182";"VirtualPoppy";"2";"0";"2";"0";"61";"2";"0";"2.0";"0.6666667";"1";"0";"1.0";"1.9672132";"0";"0";"2";"0";"0.020349879";"0.0";"3.1330163";"0";"0"
"1183";"A_BIGSHOT";"2";"2";"0";"0";"766";"0";"3";"0.0";"0.6666667";"0";"2";"0.0";"0.15665796";"0";"0";"2";"0";"0.2378084";"0.5908361";"0.36512703";"0";"0"
"1184";"Zebedocious";"2";"0";"2";"0";"524";"2";"3";"0.6666667";"0.6666667";"1";"1";"1.0";"0.22900763";"0";"0";"2";"0";"0.8074948";"0.0";"0.0";"0";"0"
