"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"187";"Zune4NXT";"325169";"110057";"78858";"143174";"6245539";"70189";"65193";"1.076634";"0.1302037";"2646";"2762";"0.95800143";"3.123852";"3187";"95402";"140523";"62934";"7748.195";"4837.2573";"99253.06";"1385";"21738"
"188";"gonzalex1";"309806";"139008";"76111";"103484";"5453477";"64844";"49978";"1.2974509";"0.19922413";"3324";"3758";"0.884513";"3.4085338";"298";"95252";"91803";"115617";"9444.005";"5367.2656";"83314.46";"2120";"4716"
"189";"LaVerdure2K7";"426218";"151017";"127545";"156035";"7308480";"109395";"62078";"1.7622185";"0.20839985";"3448";"4401";"0.7834583";"3.4990969";"1231";"94789";"161737";"91961";"7795.4507";"4514.478";"174386.56";"7832";"68668"
"190";"x--ITaCHi";"243855";"136365";"7889";"101235";"3365936";"7288";"4864";"1.4983553";"0.19815877";"2063";"1999";"1.032016";"4.346874";"850";"94111";"96642";"44316";"1102.3958";"1609.9388";"8918.772";"370";"7566"
"191";"CazyBry";"299520";"112045";"81980";"118122";"5469283";"78753";"27125";"2.9033363";"0.18831386";"3182";"4953";"0.64243895";"3.285842";"21620";"93804";"114900";"65571";"2381.7554";"1538.6329";"196634.52";"2340";"1285"
"192";"GoML-_-U-_-NOOB";"256868";"165792";"30713";"67328";"2970464";"29193";"15836";"1.8434579";"0.18809478";"1438";"2753";"0.5223393";"5.1884418";"4132";"93535";"136767";"15696";"2762.3213";"1839.6884";"19689.139";"795";"5943"
"193";"Seakster123";"435647";"244720";"77773";"121757";"6740775";"67646";"43685";"1.5484949";"0.23023912";"3481";"2861";"1.2167075";"3.8777173";"2340";"93283";"124688";"203722";"8102.458";"2981.8574";"134235.7";"5705";"5909"
"194";"L_711926";"286519";"159418";"28721";"105821";"4670097";"27189";"24487";"1.1103443";"0.28554127";"2493";"3825";"0.6517647";"3.6811097";"6254";"93189";"143825";"35856";"4243.4795";"1954.0957";"15164.687";"1501";"5894"
"195";"AVTOMAT";"190400";"84320";"52086";"58657";"2434721";"44874";"20191";"2.2224753";"0.22855744";"1618";"1063";"1.5221072";"4.6921186";"3430";"92209";"66730";"24914";"3774.2097";"1152.8109";"39726.4";"1035";"2082"
"196";"TheMeadFairy";"291503";"238698";"26707";"27376";"2047848";"22578";"23955";"0.9425172";"0.28189906";"853";"1221";"0.6986077";"8.540761";"367";"92005";"196425";"804";"6092.502";"2102.094";"1530.9993";"678";"1224"
"197";"iOrigineL";"393423";"290855";"98002";"5640";"1297973";"97054";"18585";"5.2221684";"0.145359";"223";"597";"0.37353435";"18.186342";"2833";"91810";"297454";"234";"604.55383";"50.88138";"5395.758";"154";"938"
"198";"Luc23";"151318";"73168";"39690";"41501";"2595819";"34479";"21295";"1.6191125";"0.1634112";"1735";"1378";"1.2590711";"3.4975784";"569";"91440";"44156";"13172";"3567.3086";"1465.3893";"44179.227";"921";"1060"
"199";"white_and_nerdy";"320954";"167445";"80202";"83175";"6789531";"69136";"64067";"1.0791203";"0.25789535";"2546";"5312";"0.47929215";"2.8363137";"27890";"90654";"169238";"27050";"14462.811";"4546.0015";"54577.453";"3046";"3076"
"200";"rafey32";"286226";"236616";"26213";"35176";"2301943";"24583";"25935";"0.94786966";"0.13676432";"1225";"2718";"0.45069903";"7.460463";"4347";"90403";"182536";"7663";"Infinity";"2070.7292";"29885.209";"905";"372"
"201";"britdog";"748280";"218130";"230743";"356876";"23435082";"183417";"157929";"1.161389";"0.20051925";"8432";"13169";"0.6402916";"1.9157945";"4194";"89559";"635425";"13708";"32766.043";"25089.832";"41068.668";"2755";"2639"
"202";"Hiss";"319282";"138632";"87735";"98406";"4954615";"76973";"33931";"2.2685156";"0.22600071";"3171";"2809";"1.1288714";"3.86648";"7924";"89002";"104700";"98942";"8796.041";"4603.5977";"53303.53";"3139";"15575"
